Year,Total co2 emissions,Total divided,Annual COâ‚‚ emissions (per capita)
2022,	184.037,	0.18,	3.97
2021,	181.451,	0.18,	3.95
2020,	164.026,	0.18,	3.60
2019,	177.543,	0.18,	3.94
2018,	186.283,	0.18,	4.17
2017,	188.433,	0.18,	4.26
2016,	191.469,	0.19,	4.37
2015,	193.755,	0.19,	4.46
2014,	187.789,	0.19,	4.37
2013,	191.639,	0.19,	4.50
2012,	185.819,	0.18,	4.41
2011,	184.254,	0.18,	4.42
2010,	175.400,	0.18,	4.25
2009,	163.390,	0.19,	4.00
2008,	176.638,	0.19,	4.37
2007,	171.310,	0.19,	4.29
2006,	161.890,	0.20,	4.09
2005,	152.774,	0.20,	3.90
2004,	148.930,	0.21,	3.85
2003,	134.158,	0.21,	3.50
2002,	122.890,	0.21,	3.24
2001,	130.490,	0.20,	3.48
2000,	136.114,	0.20,	3.67